"iso_code","country","Y","D","X1","X2"
"SEN","Senegal",49.77713797,"LowFreedom",6.797731271,5.205386001
"SRB","Serbia",47.94184407,"LowFreedom",53.80363303,24.3176303
"SYC","Seychelles",25.76610602,"HighFreedom",75.36899403,31.40374751
"SVK","Slovak Republic",52.32085186,"HighFreedom",20.70374777,60.75290219
"SVN","Slovenia",60.15589856,"HighFreedom",71.15639741,21.41383747
"ESP","Spain",85.3565992,"HighFreedom",33.48579956,89.81295422
"SUR","Suriname",76.60435805,"LowFreedom",10.44495509,27.85321356
"CHE","Switzerland",171.2329175,"HighFreedom",35.05338632,89.49144284
"TJK","Tajikistan",28.24879123,"LowFreedom",12.36956016,3.637605368
"TZA","Tanzania",17.76814881,"LowFreedom",5.638881177,2.357880703
"TGO","Togo",59.40093714,"LowFreedom",6.919241048,4.821386049
"TTO","Trinidad and Tobago",53.2575768,"LowFreedom",44.62813472,10.48492322
"TUN","Tunisia",69.81419435,"LowFreedom",33.31803927,22.50804035
"TUR","Türkiye",50.02561989,"LowFreedom",14.44276603,78.72139266
"UGA","Uganda",18.39453436,"LowFreedom",2.315005624,3.631902265
"UKR","Ukraine",33.3886485,"LowFreedom",15.43845793,80.87887211
"ARE","United Arab Emirates",120.3621526,"HighFreedom",53.64939526,7.660736061
"URY","Uruguay",55.55971491,"HighFreedom",9.656125336,304.149729
"VNM","Vietnam",131.3749439,"LowFreedom",27.74648821,3.026817684
"ZMB","Zambia",29.76389787,"LowFreedom",2.66372651,7.991179531
