"iso_code","country","l_Y","D","PC1","PC2","PC3","PC4"
"ALB","Albania",4.16734599605471,"HighFreedom",0.372789868369563,0.00206536361197419,0.528762748039868,-0.37179347163869
"DZA","Algeria",3.76298550976582,"LowFreedom",-2.43209876872203,-1.29854396535083,0.110175153109,1.54048274326143
"AGO","Angola",3.020399736072,"LowFreedom",-2.16466848906477,-0.918409857336632,0.219492445164398,0.383210541007453
"ARG","Argentina",3.14804589344803,"LowFreedom",-0.250518518814962,-1.73221464094022,0.672499336468534,0.968685210115209
"ARM","Armenia",3.69069341539093,"HighFreedom",0.477811744317591,-0.784025230771296,0.529868581110719,-0.236830197237753
"AUS","Australia",4.43496389678069,"HighFreedom",3.13901641325057,1.18458356067768,-0.789724942823994,-0.230070959793643
"AUT","Austria",3.3405029753275,"HighFreedom",2.24416969585698,-0.411027499835688,1.71615004278084,0.939741880443314
"AZE","Azerbaijan",3.22704770392594,"LowFreedom",-0.790846897523923,-0.515786861794438,-1.34689141188476,0.39664604031121
"BHS","Bahamas, The",4.13015687513583,"HighFreedom",1.59390942226165,-0.3929862563256,0.99956692180473,-0.594768177650628
"BHR","Bahrain",4.46102567568602,"HighFreedom",0.951301263188704,0.180083339192761,0.678574996150706,-0.704924927993232
"BGD","Bangladesh",3.67688429068243,"LowFreedom",-1.91897918001239,-0.500130722355668,-0.394873827487341,0.0330706026278255
"BRB","Barbados",2.55844124789185,"HighFreedom",0.805221419285866,-0.755391242273238,-0.882481495869187,-0.168718208104427
"BEL","Belgium",4.62630299976246,"HighFreedom",2.20904245779235,0.435613471737174,-0.540277801009801,0.458504344150957
"BLZ","Belize",3.79478077516016,"LowFreedom",-0.228403082148763,-0.00726513222748544,-0.70493903779694,-1.2181254979485
"BEN","Benin",3.57120843840183,"LowFreedom",-2.3509596951232,1.50600527860548,0.160777918971244,0.0210259202015632
"BTN","Bhutan",3.73389806729895,"LowFreedom",0.789718703605451,0.707500007607432,-0.558960751065549,-0.182514196514686
"BOL","Bolivia",4.03564819080204,"LowFreedom",-0.876749221825462,-2.4011556212881,-0.268962513929955,-0.0164603167629054
"BIH","Bosnia and Herzegovina",3.90874146004283,"LowFreedom",0.351575611007623,-0.628066938558162,-0.594076509149507,-0.814909729627079
"BWA","Botswana",3.16616198851482,"LowFreedom",-0.0937216363048229,-0.0654575258377412,-1.019344219609,0.658903049862251
"BRA","Brazil",3.66892810040853,"LowFreedom",-0.194545272303876,-1.80519196305453,0.784781066856544,0.254112568190873
"BGR","Bulgaria",4.79356924479663,"HighFreedom",1.26506743342189,-1.30863882092936,-0.595574483307892,-0.476055093736252
"BFA","Burkina Faso",3.79057089642183,"LowFreedom",-2.44444380031849,1.4647305795653,0.644453654639457,-0.178581075074904
"CPV","Cabo Verde",4.44054574663578,"HighFreedom",0.479269694766801,-0.349132324735813,-0.311490796861706,-0.485057386202237
"KHM","Cambodia",4.54855241390446,"LowFreedom",-1.66866112521179,-1.07123589384859,-1.00200640616407,-0.398981583827021
"CAN","Canada",4.56270505924433,"HighFreedom",2.77814623401614,0.0345416378810346,1.61963205044485,-0.275619536519186
"CHL","Chile",4.08172162325975,"HighFreedom",0.840639795389754,0.102335679137261,1.05235475547699,0.468450741692269
"CHN","China",5.06049847919816,"LowFreedom",-0.26061711498204,-0.73623450521083,-1.61997781087351,0.259155776269229
"COL","Colombia",3.70743328777614,"LowFreedom",-0.0469127629132318,-0.0856790171092316,-0.747336698665531,-0.337975829189408
"COM","Comoros",2.46867108928777,"LowFreedom",-2.69727234597101,0.334038715302452,0.235092266120661,-0.351901345525234
"COG","Congo, Rep.",3.23831443572236,"LowFreedom",-2.78414277802267,-0.708962466059922,-1.06151294698504,0.788767794785509
"CRI","Costa Rica",3.91998885820956,"HighFreedom",1.06720005708765,-0.0550470742794278,0.937240937987619,-0.0734777882253742
"HRV","Croatia",4.34609778316387,"HighFreedom",1.20482789659559,-0.974940603747572,-1.25493368027647,0.182593696556509
"CYP","Cyprus",4.83996708452627,"HighFreedom",1.36581285427277,0.233118569158377,-0.193029802239973,0.513081098587817
