"iso_code","country","Y","X1","X2","X3","X4","X5","D"
"SVK","Slovak Republic",52.32085186,20.70374777,60.75290219,6.71,6.75,38623.67106,"HighFreedom"
"SVN","Slovenia",60.15589856,71.15639741,21.41383747,6.78,6.28,47064.15179,"HighFreedom"
"ESP","Spain",85.3565992,33.48579956,89.81295422,7.43,7.14,46649.56354,"HighFreedom"
"SUR","Suriname",76.60435805,10.44495509,27.85321356,4.9,5.9,18742.58738,"LowFreedom"
"CHE","Switzerland",171.2329175,35.05338632,89.49144284,8.32,7.65,82777.29358,"HighFreedom"
"TJK","Tajikistan",28.24879123,12.36956016,3.637605368,3.77,6.11,4213.756184,"LowFreedom"
"TZA","Tanzania",17.76814881,5.638881177,2.357880703,5.21,6.63,3546.980957,"LowFreedom"
"TGO","Togo",59.40093714,6.919241048,4.821386049,4.66,6.01,2662.259171,"LowFreedom"
"TTO","Trinidad and Tobago",53.2575768,44.62813472,10.48492322,5.39,6.19,30793.39983,"LowFreedom"
"TUN","Tunisia",69.81419435,33.31803927,22.50804035,4.72,5.38,12702.45358,"LowFreedom"
"TUR","Türkiye",50.02561989,14.44276603,78.72139266,4.74,5.81,32748.3189,"LowFreedom"
"UGA","Uganda",18.39453436,2.315005624,3.631902265,4.54,6.43,2724.906096,"LowFreedom"
"UKR","Ukraine",33.3886485,15.43845793,80.87887211,4.53,4.27,13787.12109,"LowFreedom"
"ARE","United Arab Emirates",120.3621526,53.64939526,7.660736061,6.94,6.62,68867.82593,"HighFreedom"
"URY","Uruguay",55.55971491,9.656125336,304.149729,6.29,6.9,30804.70328,"HighFreedom"
"VNM","Vietnam",131.3749439,27.74648821,3.026817684,5.34,5.85,12979.7639,"LowFreedom"
"ZMB","Zambia",29.76389787,2.66372651,7.991179531,5.14,5.61,3585.123791,"LowFreedom"
