"Grup","Deposits","Branches","ATMs","Legal","Regulation"
"TOP 10",207.33979004,48.328597747,31.8325029744,6.33,6.982
"BOTTOM 10",15.7744369096,25.1575450919,12.893682376,4.196,5.908
"Diferenta (%)",1214.40374847116,92.1037906141343,146.884497741718,50.8579599618685,18.178740690589
