"Model","R2","R2_Adj","AIC","BIC"
"OLS Simplu (Ref)",0.247516413154273,0.210629962818698,1047.37535199363,1066.1502705835
"Extins 1 (Log+Int)",0.253238941331185,0.200965667224368,1050.55088875961,1074.69006980373
"Extins 2 (Polynomial)",0.247760797715411,0.20307332035197,1049.34027106972,1070.79732088671
