"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"deposits_gdp",1,135,63.533700304563,58.7628575883591,49.83619165,54.4177749653211,28.753874263674,6.649665446,548.7616701,542.112004654,4.85152100306283,33.8032132227135,5.05750152922829
"branches_100k",2,135,34.0833650035111,30.8948851666869,24.59290536,29.3702272592752,25.2848240000118,1.597580438,159.3366203,157.739039862,1.44402524836841,2.13391366186832,2.65900834963486
"atms_100k",3,135,34.8430712466963,45.745216422671,17.52060529,25.8943103377798,17.335913510622,2.025101964,304.149729,302.124627036,3.09216395443791,12.2947348697945,3.93712136385908
"legal_rights",4,135,5.57822222222222,1.58015060054351,5.36,5.50440366972477,1.512252,2.52,8.93,6.41,0.373548827302642,-0.687736228691811,0.135997710231215
"regulation",5,135,6.45459259259259,0.853904782488458,6.49,6.47660550458716,0.770951999999999,4.1,8.54,4.44,-0.259586400635626,0.327933519263529,0.0734924222627703
"gdp_pc_ppp",6,135,27415.0680663481,25667.8058680137,18554.04618,23818.4084141651,20052.321177084,1476.665603,133571.9624,132095.296797,1.66199484518061,3.66097643937113,2209.1329924556
