"","deposits_gdp","branches_100k","atms_100k","legal_rights","regulation","gdp_pc_ppp"
"deposits_gdp",1,0.16374164215804,0.0421939771258758,0.300424638731181,0.38975337715279,0.357529820802863
"branches_100k",0.16374164215804,1,-0.101964145606285,0.38729964345265,0.20405099309746,0.30508884247237
"atms_100k",0.0421939771258758,-0.101964145606285,1,0.295991746893592,0.187005407271665,0.279021766021897
"legal_rights",0.300424638731181,0.38729964345265,0.295991746893592,1,0.687120641395632,0.791962242772209
"regulation",0.38975337715279,0.20405099309746,0.187005407271665,0.687120641395632,1,0.583091618212193
"gdp_pc_ppp",0.357529820802863,0.30508884247237,0.279021766021897,0.791962242772209,0.583091618212193,1
