term,estimate,std_error,statistic,p_value,model,alpha
X1,0.33814806865210967,0.2423773683965983,1.3951305391632245,0.16323312623171202,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
X2,0.05455202362598163,0.028650274084294214,1.90406637875365,0.057139139728902284,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
X3,6.898912891955319,5.310798506142029,1.2990349537789108,0.19418002546830498,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
X4,-11.588127740707055,6.669454749646796,-1.7374925201075462,0.08255534441762875,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
X5,0.0010464856825866636,7.064860342861877e-4,1.4812545921647289,0.13879973849280355,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
DHighFreedom,1.5461035795608071,2.5673307510717143,0.6022222025406726,0.5471393497974728,"Fixed Effects (FE, individual) [Hausman p<0.05]",0.05
