variable,n,mean,sd,min,max
X1,1336,17.931370196440866,14.686056785268189,1.610389245,124.0879898
X2,1336,55.426766131318864,46.13093149645264,1.019879315,317.7853825
X3,1336,5.6163997005988024,1.5998864619266238,2.16,9.05
X4,1336,6.527836826347305,0.9041841350816995,3.07,9.23
X5,1336,25642.05699213473,22971.067076386764,1385.832549,136772.4438
Y,1336,63.6260701987485,55.90442383597744,5.174857771,548.7616701
year,1336,2018.0194610778442,3.1626914546688303,2013,2023
