KEN,Kenya,WB_WDI_NY_GDP_PCAP_PP_KD,5491.693783
KOR,"Korea, Rep.",WB_WDI_NY_GDP_PCAP_PP_KD,49777.9293
KWT,Kuwait,WB_WDI_NY_GDP_PCAP_PP_KD,51379.88333
KGZ,Kyrgyz Republic,WB_WDI_NY_GDP_PCAP_PP_KD,6139.777888
LAO,Lao PDR,WB_WDI_NY_GDP_PCAP_PP_KD,8183.032865
LVA,Latvia,WB_WDI_NY_GDP_PCAP_PP_KD,37681.04524
LBN,Lebanon,WB_WDI_NY_GDP_PCAP_PP_KD,11474.75058
LSO,Lesotho,WB_WDI_NY_GDP_PCAP_PP_KD,2577.545441
LBY,Libya,WB_WDI_NY_GDP_PCAP_PP_KD,11456.07681
LTU,Lithuania,WB_WDI_NY_GDP_PCAP_PP_KD,46651.21458
LUX,Luxembourg,WB_WDI_NY_GDP_PCAP_PP_KD,132573.9944
MDG,Madagascar,WB_WDI_NY_GDP_PCAP_PP_KD,1602.713684
MYS,Malaysia,WB_WDI_NY_GDP_PCAP_PP_KD,32079.15152
MLI,Mali,WB_WDI_NY_GDP_PCAP_PP_KD,2808.522474
MLT,Malta,WB_WDI_NY_GDP_PCAP_PP_KD,57784.82267
MRT,Mauritania,WB_WDI_NY_GDP_PCAP_PP_KD,6053.261787
MUS,Mauritius,WB_WDI_NY_GDP_PCAP_PP_KD,24788.7665
MEX,Mexico,WB_WDI_NY_GDP_PCAP_PP_KD,21392.11146
MDA,Moldova,WB_WDI_NY_GDP_PCAP_PP_KD,15358.01536
MNG,Mongolia,WB_WDI_NY_GDP_PCAP_PP_KD,15310.43495
MNE,Montenegro,WB_WDI_NY_GDP_PCAP_PP_KD,25430.48742
MAR,Morocco,WB_WDI_NY_GDP_PCAP_PP_KD,8666.079102
MOZ,Mozambique,WB_WDI_NY_GDP_PCAP_PP_KD,1476.665603
NAM,Namibia,WB_WDI_NY_GDP_PCAP_PP_KD,9953.097522
NPL,Nepal,WB_WDI_NY_GDP_PCAP_PP_KD,4763.387511
