year,iso_code,country,legal_rights,regulation,gdp_ppp,deposits_gdp,at_ms_100k,branches_100k,high_freedom
2014,ISR,Israel,6.38,7.07,40872.58084,93.97913075,123.8396498,20.97626274,1
2015,ISR,Israel,6.54,7.15,40967.37076,95.48670638,102.056971,20.17192534,1
2016,ISR,Israel,6.56,7.03,41963.6758,97.44665685,111.5533014,18.95101407,1
2017,ISR,Israel,6.55,7.26,42947.05867,97.13485091,121.8991962,17.96257674,1
2018,ISR,Israel,6.5,7.29,43814.295,95.27671167,128.8735163,17.42042543,1
2019,ISR,Israel,6.49,7.33,44580.80788,94.07999283,133.5974139,16.81108474,1
2020,ISR,Israel,6.48,7.16,42915.94169,110.8786842,133.70635,16.1949498,1
2021,ISR,Israel,6.49,7.3,46162.08227,115.2817242,131.7697291,15.23837393,1
2022,ISR,Israel,6.54,7.31,48098.18724,110.8686067,128.2575795,14.43441233,1
2023,ISR,Israel,6.32,7.21,47527.15102,108.2562409,136.3399758,13.98466624,1
2013,ITA,Italy,6.28,6.72,46833.36153,55.36625172,92.30588471,53.21702082,1
2014,ITA,Italy,6.38,6.75,46825.65112,56.72987462,93.15536072,51.19677955,1
2015,ITA,Italy,6.34,6.81,47311.82553,58.97576953,97.04272227,50.22894517,1
2016,ITA,Italy,6.3,6.83,47987.83796,60.92074639,94.83960186,48.00575322,1
2017,ITA,Italy,6.35,6.85,48849.21835,62.21970382,93.11160762,44.96728557,1
2018,ITA,Italy,6.72,6.87,49133.14353,62.59180174,91.33976846,41.01841064,1
2019,ITA,Italy,6.77,6.89,49690.62985,65.16051501,90.87579318,39.09333793,1
2020,ITA,Italy,6.69,6.52,45505.06887,78.98782824,90.31512736,37.63371549,1
2021,ITA,Italy,6.72,6.52,49825.39341,76.55363046,88.19378023,34.36563644,1
2022,ITA,Italy,6.73,6.47,52333.32743,70.45581941,90.32531892,33.07415318,1
2023,ITA,Italy,6.78,6.58,52725.7462,56.89735013,88.40987483,31.40323693,1
2013,JAM,Jamaica,5.64,7.63,9687.608304,34.03905883,27.95180079,5.723918251,1
2014,JAM,Jamaica,5.73,7.66,9719.303899,33.9617343,30.52490111,5.181696176,1
2015,JAM,Jamaica,6.03,7.71,9778.118542,35.39550165,31.16533185,5.264099401,1
2016,JAM,Jamaica,5.92,7.71,9886.551393,37.90491063,32.51449086,5.211542506,1
2017,JAM,Jamaica,5.92,7.72,9964.391023,47.12433203,34.03745948,7.949688523,1
2018,JAM,Jamaica,5.74,7.76,10137.11105,48.20442442,34.77769446,8.105738682,1
2019,JAM,Jamaica,5.72,7.78,10216.06554,50.88833093,36.46527536,8.128343399,1
2020,JAM,Jamaica,5.76,7.73,9178.320778,63.82026231,40.07049917,7.73836499,1
2021,JAM,Jamaica,5.8,7.74,9577.164211,64.39978713,39.97737994,7.537080452,1
2022,JAM,Jamaica,5.86,7.77,10072.04853,58.43755049,41.16949393,7.095168103,1
2023,JAM,Jamaica,5.81,7.72,10332.05513,56.78876795,38.58182613,7.010918744,1
2013,JOR,Jordan,4.42,7.25,10799.35381,112.7964468,25.74289381,16.25260311,1
2014,JOR,Jordan,4.42,7.28,10148.9981,115.668514,24.89730735,15.21113581,1
2015,JOR,Jordan,4.5,7.18,9581.689226,118.9847424,22.99798964,14.3677168,1
2016,JOR,Jordan,4.51,7.16,9321.904511,116.1535689,25.11341827,13.96714701,1
2017,JOR,Jordan,4.48,7.21,9339.810397,112.3756008,25.98006534,13.62767126,1
2018,JOR,Jordan,4.46,7.4,9311.531163,109.9199437,27.78495111,13.72665981,1
2019,JOR,Jordan,4.57,7.32,9288.527091,111.7347963,24.63476918,13.56738143,1
2020,JOR,Jordan,4.78,7.1,9022.639304,118.5701937,28.6970275,13.22475241,1
2021,JOR,Jordan,4.8,7.19,9182.496161,120.2364205,29.33777753,12.92466099,1
2022,JOR,Jordan,4.75,7.32,9266.575383,121.8932657,29.27987796,12.54106972,1
2023,JOR,Jordan,4.93,7.25,9381.35436,120.5971854,30.20142674,12.08819732,1
2013,JPN,Japan,8,7.5,42492.24396,131.8593688,128.2114434,33.88245377,1
2014,JPN,Japan,8.01,7.49,42674.69763,132.7909522,127.3560908,33.85473355,1
2015,JPN,Japan,8.01,7.71,43386.71007,132.9518445,127.4364472,34.08340406,1
2016,JPN,Japan,8,7.73,43736.13051,135.776114,127.4040147,33.99940967,1
2017,JPN,Japan,8.01,7.79,44505.27926,141.7304406,127.1723523,33.86786786,1
2018,JPN,Japan,8.03,7.9,44848.48994,145.4657411,126.8018711,33.85846866,1
2019,JPN,Japan,8.03,7.76,44730.91028,147.2263582,123.4635252,33.74158452,1
2020,JPN,Japan,8.03,7.49,42992.47964,156.3372551,120.9806445,33.71891996,1
2021,JPN,Japan,7.78,7.58,44355.34872,168.3353937,116.6084659,33.79707735,1
2022,JPN,Japan,7.78,7.6,44972.34384,171.3807463,113.0691467,33.75481256,1
2023,JPN,Japan,7.78,7.59,45858.65951,167.3619158,109.8295827,33.74288382,1
2013,KEN,Kenya,4.77,5.96,4443.371216,28.80996571,9.67144014,5.385984959,0
2014,KEN,Kenya,4.79,6.23,4558.551553,38.1788972,9.858279219,5.606353968,0
2015,KEN,Kenya,4.8,5.99,4679.621828,36.10989836,9.951725709,5.73377574,0
2016,KEN,Kenya,4.85,6.48,4770.310464,33.9770131,9.43505277,5.527463144,0
2017,KEN,Kenya,4.93,6.21,4846.862109,35.6746854,9.734669102,5.375604885,0
2018,KEN,Kenya,4.84,6.5,5017.667847,34.89697302,9.475914053,5.177802666,0
2019,KEN,Kenya,4.84,6.69,5171.712643,35.14959347,7.986663214,4.972582912,0
2020,KEN,Kenya,4.75,6.58,5057.401155,37.43963673,7.60782771,4.860556593,0
2021,KEN,Kenya,5.01,6.76,5338.852434,37.92619879,7.024206974,4.590864768,0
2022,KEN,Kenya,5.11,6.64,5491.693783,37.05551184,6.848648033,4.506237776,0
2023,KEN,Kenya,5.1,6.48,5682.989162,37.0309035,6.592301348,4.477680582,0
2013,KGZ,Kyrgyz Republic,4.42,6,5418.54062,18.95163764,20.56029571,7.816933942,0
2014,KGZ,Kyrgyz Republic,4.41,6.07,5513.75447,20.59792642,24.65972422,7.832798174,0
2015,KGZ,Kyrgyz Republic,4.46,5.98,5600.214334,23.89784403,30.00612504,8.205558465,0
2016,KGZ,Kyrgyz Republic,4.49,5.89,5715.010412,22.4800215,30.98204257,8.317486813,0
2017,KGZ,Kyrgyz Republic,4.46,5.99,5861.222,22.92224383,33.03576209,8.042676687,0
2018,KGZ,Kyrgyz Republic,4.44,6.11,5951.828768,23.37924203,36.30142798,7.934487733,0
2019,KGZ,Kyrgyz Republic,4.46,6.07,6087.601938,23.08104285,38.54814014,7.813203639,0
2020,KGZ,Kyrgyz Republic,4.39,6.04,5537.795473,28.28370395,41.10532575,7.41933412,0
2021,KGZ,Kyrgyz Republic,4.39,6.14,5736.478834,31.03349126,41.61387768,7.298769123,0
2022,KGZ,Kyrgyz Republic,4.41,6.03,6139.777888,33.20690485,43.62199797,7.288143708,0
2023,KGZ,Kyrgyz Republic,4.34,6.19,6575.775413,32.34098343,47.27892032,7.175517553,0
2013,KHM,Cambodia,3.07,5.06,4419.398868,35.29789983,8.410853365,4.735359062,0
2014,KHM,Cambodia,3.1,5.28,4702.730618,41.14972145,10.86766085,5.668006056,0
2015,KHM,Cambodia,3.16,5.14,4968.572767,43.34680586,13.31477414,6.112007905,0
2016,KHM,Cambodia,3.13,5.33,5283.729649,51.67142012,14.49928429,7.245015698,0
2017,KHM,Cambodia,3.13,5.3,5632.031256,58.59563068,16.76161117,7.533615457,0
2018,KHM,Cambodia,3.24,5.41,6050.590883,66.02746941,19.5091624,7.861097635,0
2019,KHM,Cambodia,3.25,5.41,6448.88456,69.50154344,23.3594534,8.331302781,0
2020,KHM,Cambodia,3.22,5.33,6128.782438,85.08644929,26.39759797,11.62431195,0
2021,KHM,Cambodia,3.23,5.24,6225.532655,94.78123712,31.59311338,12.37510422,0
2022,KHM,Cambodia,3.27,5.28,6458.368149,94.49551886,37.8164779,12.50518367,0
2023,KHM,Cambodia,3.27,5.28,6695.291948,105.8244899,46.18371346,14.19837137,0
2013,KOR,Korea Rep.,6.79,7.23,40483.25341,64.27276797,288.6831359,18.02701124,1
2014,KOR,Korea Rep.,6.87,7.23,41518.09423,65.94771584,280.8601681,17.1999264,1
2015,KOR,Korea Rep.,6.94,7.21,42459.90289,66.85107102,275.8235929,16.7479911,1
2016,KOR,Korea Rep.,6.97,7.21,43538.02127,67.70079974,271.1150623,16.21092938,1
2017,KOR,Korea Rep.,7.06,7.27,44787.64824,67.49744175,271.93559,15.39950662,1
2018,KOR,Korea Rep.,7.08,7.29,45890.43041,69.50697333,266.2797561,15.23514897,1
2019,KOR,Korea Rep.,7.1,7.19,46757.26145,74.2685354,263.3225201,15.02406364,1
2020,KOR,Korea Rep.,7.09,7.04,46361.59578,82.47974973,258.1917259,14.28557129,1
2021,KOR,Korea Rep.,7.1,7.08,48419.64325,84.11777149,256.8552327,13.57402442,1
2022,KOR,Korea Rep.,7.17,7.04,49777.9293,84.25979809,252.633954,12.89363377,1
2023,KOR,Korea Rep.,7.15,7.07,50414.20834,83.00286516,244.4692928,12.70001381,1
2013,KWT,Kuwait,5.22,6.49,62458.80891,51.3522378,53.90150022,14.61735599,0
2014,KWT,Kuwait,5.24,6.31,60065.65444,56.19315113,57.02816185,14.64142145,0
2015,KWT,Kuwait,5.24,5.89,57763.51744,76.27932342,56.96445491,14.14105907,0
2016,KWT,Kuwait,5.23,6.32,56936.62084,79.30832108,63.43089457,13.76300676,0
2017,KWT,Kuwait,5.25,5.83,52285.58712,73.25747188,64.38391057,13.19518091,0
2018,KWT,Kuwait,5.24,6.08,51623.80791,67.11795744,69.68982168,12.71883205,0
2019,KWT,Kuwait,5.28,6.4,51380.6455,69.2846587,76.00921772,12.04781619,0
2020,KWT,Kuwait,5.27,6.4,49372.57295,97.68400096,61.60981405,11.65204197,0
2021,KWT,Kuwait,5.27,6.04,50651.95758,76.77237354,63.90551969,12.19570986,0
2022,KWT,Kuwait,5.26,6.03,51379.88333,74.19428137,62.54547965,11.38171299,0
2023,KWT,Kuwait,5.34,6.2,47777.40128,87.68744643,58.80199851,10.75800661,0
2013,LAO,Lao PDR,4.52,3.07,5974.473689,37.5954108,17.59020217,2.693787504,0
2014,LAO,Lao PDR,4.52,5.04,6341.212297,43.06808578,19.46917355,2.8359721,0
2015,LAO,Lao PDR,4.58,4.92,6703.741243,46.14844261,22.63718841,2.862679468,0
2016,LAO,Lao PDR,4.57,5.25,7063.255453,47.17926626,23.60652515,2.953510452,0
2017,LAO,Lao PDR,4.42,5.23,7432.459633,48.35333202,25.36253538,3.040970103,0
2018,LAO,Lao PDR,4.43,5.36,7775.085745,48.33725587,25.35568332,3.125476066,0
2019,LAO,Lao PDR,4.45,5.49,8075.275024,53.6913786,26.48496425,3.125428732,0
2020,LAO,Lao PDR,4.46,5.37,7995.595025,61.14476412,26.98770626,3.144585243,0
2021,LAO,Lao PDR,4.45,5.71,8080.435532,70.89857109,27.64249894,3.064881591,0
2022,LAO,Lao PDR,4.42,5.76,8183.032865,82.95751268,27.46076405,2.968213687,0
2023,LAO,Lao PDR,4.45,5.76,8372.155919,86.96800264,28.66939082,2.818092152,0
2013,LBN,Lebanon,3.42,5.28,16396.49693,229.2671704,35.53966013,24.40421253,0
2014,LBN,Lebanon,3.55,5.25,15205.87327,236.6619779,33.93250416,22.75573423,0
2015,LBN,Lebanon,3.66,5.13,14980.02052,239.0836631,35.5415897,22.73662329,0
2016,LBN,Lebanon,3.71,5.21,15572.36117,250.7081652,38.52308549,23.76270639,0
2017,LBN,Lebanon,3.69,5.15,16128.58382,251.2494289,42.26487276,24.75450486,0
2018,LBN,Lebanon,3.63,5.2,16290.05165,246.7304006,46.02891205,26.00933018,0
2019,LBN,Lebanon,3.62,5.19,15659.5661,234.7982398,47.94823219,26.4517207,0
2020,LBN,Lebanon,3.49,5.17,12507.43664,171.4883298,45.60971229,25.28734849,0
2021,LBN,Lebanon,3.53,6.01,11599.77551,63.48282092,41.64309548,22.68147718,0
2022,LBN,Lebanon,3.53,6.02,11474.75058,22.83568921,36.21951464,19.79521988,0
2023,LBN,Lebanon,3.54,5.98,11330.26874,52.96803572,29.40164347,17.51335837,0
2013,LSO,Lesotho,4.51,5.84,2914.37516,32.93400419,10.9563264,3.677648022,0
2014,LSO,Lesotho,4.65,6.07,2930.61724,29.52279172,11.44726827,3.638866736,0
2015,LSO,Lesotho,4.73,5.9,2986.958667,30.80784207,13.34580942,3.823799327,0
2016,LSO,Lesotho,4.53,5.5,3057.260916,28.35497164,15.10651202,3.924731063,0
2017,LSO,Lesotho,4.51,5.72,2924.680962,35.12099157,14.81868644,3.868918134,0
2018,LSO,Lesotho,4.33,5.72,2846.418281,36.42636748,14.66428492,3.809838729,0
2019,LSO,Lesotho,4.42,5.75,2773.286399,37.17641795,14.23074336,3.823184784,0
2020,LSO,Lesotho,4.39,5.97,2517.110419,43.02734759,14.08261195,3.83437454,0
2021,LSO,Lesotho,4.43,5.83,2544.782496,42.55338299,13.93753102,3.707520568,0
2022,LSO,Lesotho,4.46,5.77,2577.545441,41.32772647,14.06176902,3.650651574,0
2023,LSO,Lesotho,4.43,5.74,2595.829523,61.03532638,14.29310301,3.58989564,0
2013,LTU,Lithuania,6.83,7.32,32474.64135,35.74976703,49.89184824,18.08134389,1
2014,LTU,Lithuania,6.87,7.39,33975.08438,39.07639791,51.13884575,16.2225333,1
2015,LTU,Lithuania,6.93,7.24,35251.29869,40.08801331,48.91993946,14.52310703,1
2016,LTU,Lithuania,6.92,7.3,36618.14684,41.44355474,48.14226304,13.41135016,1
2017,LTU,Lithuania,6.93,7.39,38774.4892,40.88810468,46.55131642,13.56024137,1
2018,LTU,Lithuania,6.99,7.41,41019.79016,42.18330425,46.7223187,11.39874263,1
2019,LTU,Lithuania,7.1,7.38,43062.32284,43.11113368,44.92253796,10.01537926,1
2020,LTU,Lithuania,7.1,7.08,43091.79737,53.60529327,43.84698158,10.35392395,1
2021,LTU,Lithuania,7.11,7.26,45873.52732,52.10338797,42.53296829,11.07367222,1
2022,LTU,Lithuania,7.08,6.82,46651.21458,46.8940425,47.14184874,10.51753768,1
2023,LTU,Lithuania,7.1,7.16,46159.70817,44.48918818,46.52041989,10.18784921,1
2013,LUX,Luxembourg,8.59,7.61,129945.4538,86.96921845,97.90522685,81.73535907,1
2014,LUX,Luxembourg,8.61,7.61,130247.6617,96.51041777,105.3647499,79.67129653,1
2015,LUX,Luxembourg,8.62,7.63,130097.2562,86.1081149,108.5705509,77.00934422,1
2016,LUX,Luxembourg,8.61,7.59,133661.6497,86.85596356,110.7128552,76.82116485,1
2017,LUX,Luxembourg,8.61,7.49,132169.834,90.11875782,115.6383919,71.82384552,1
2018,LUX,Luxembourg,8.58,7.51,131733.8846,93.53184901,116.8389191,68.61345922,1
2019,LUX,Luxembourg,8.58,7.58,132724.7527,93.09300649,114.2734227,64.91498634,1
2020,LUX,Luxembourg,8.58,7.41,129865.63,94.0228716,107.9830021,59.8437267,1
2021,LUX,Luxembourg,8.57,7.6,136772.4438,91.38069127,99.42981185,56.68428526,1
2022,LUX,Luxembourg,8.57,7.58,132573.9944,89.03301521,88.82449517,52.42101355,1
2023,LUX,Luxembourg,8.58,7.62,129021.6455,85.96168259,76.29219912,48.30650926,1
2013,LVA,Latvia,6.99,7.49,28375.18429,38.52646027,68.45618223,21.57794699,1
2014,LVA,Latvia,7.08,7.47,29243.74125,38.13317948,62.84685041,20.37957848,1
2015,LVA,Latvia,6.97,7.67,30599.61331,39.19013981,63.02942783,18.0509609,1
2016,LVA,Latvia,6.89,7.43,31668.51484,41.59493711,61.41194384,17.13260516,1
2017,LVA,Latvia,6.93,7.43,33036.39159,41.08062898,62.03235329,16.48497578,1
2018,LVA,Latvia,6.99,7.46,34729.70628,40.55276622,61.21886577,14.67279965,1
2019,LVA,Latvia,7.1,7.46,35208.19346,41.26898129,57.99515775,9.696939559,1
2020,LVA,Latvia,7.09,7.37,34225.8976,47.53571789,57.12789508,7.015706413,1
2021,LVA,Latvia,7.11,7.35,36912.01306,48.46396618,57.3000736,6.570239972,1
2022,LVA,Latvia,7.1,7.44,37681.04524,47.45749184,56.83281722,5.189633644,1
2023,LVA,Latvia,7.11,7.43,38796.55102,44.45752628,56.48093453,4.675155654,1
2013,MAR,Morocco,5.02,6.25,7839.032227,74.32543962,24.3975345,23.72270026,0
2014,MAR,Morocco,5.09,6.22,7951.79834,76.86523794,25.41375418,24.19076312,0
2015,MAR,Morocco,5.17,6.38,8198.808594,75.98530403,26.22696524,24.73665982,0
2016,MAR,Morocco,5.1,6.5,8141.94043,78.05179625,26.9901165,24.93647767,0
2017,MAR,Morocco,5.14,6.54,8450.008789,78.45904108,27.37647744,25.00252403,0
2018,MAR,Morocco,5.27,6.59,8611.75,77.62544165,28.02617735,25.09629024,0
2019,MAR,Morocco,5.27,6.34,8768.175781,76.73119671,28.89173754,24.90693202,0
2020,MAR,Morocco,5.25,6.24,8054.562988,86.99056633,28.95892984,24.46569015,0
2021,MAR,Morocco,5.33,6.28,8623.265625,82.70385903,29.32323235,22.48729998,0
2022,MAR,Morocco,5.35,6.29,8666.079102,84.84312597,29.54945705,21.61427395,0
2023,MAR,Morocco,5.36,6.24,8868.711914,79.54922828,28.23189807,20.91849209,0
2013,MDA,Moldova,5.39,5.91,11080.06346,43.41060522,42.56667296,55.01901311,0
2014,MDA,Moldova,5.38,5.86,11641.12084,35.4181821,46.03305275,57.52004374,0
2015,MDA,Moldova,5.28,5.83,11691.07975,32.11594502,41.95907933,35.57681444,0
2016,MDA,Moldova,5.28,5.77,12377.36668,32.57642807,45.90723403,35.76902078,0
2017,MDA,Moldova,5.33,5.9,13118.82194,34.03091088,49.33432331,36.13660625,0
2018,MDA,Moldova,5.78,5.95,13895.50437,33.5172976,52.21563129,36.93636484,0
2019,MDA,Moldova,5.82,5.93,14621.24014,32.05133343,53.19905524,33.96878989,0
2020,MDA,Moldova,5.88,5.76,13559.26002,38.58508078,53.12324355,31.87394613,0
2021,MDA,Moldova,5.99,5.91,15682.07033,36.79085372,55.57554946,31.21300391,1
2022,MDA,Moldova,5.87,5.58,15358.01536,34.48300912,57.74455512,29.21894299,0
2023,MDA,Moldova,5.79,5.64,15990.47933,37.50938849,63.21138232,28.88500817,0
2013,MDG,Madagascar,3.19,5.44,1610.602308,14.74683465,1.726453335,1.610389245,0
2014,MDG,Madagascar,3.32,5.34,1620.357889,14.79006502,1.962453086,1.822277866,0
2015,MDG,Madagascar,3.4,5.35,1627.580613,16.41090508,2.189127761,1.979025716,0
2016,MDG,Madagascar,3.38,5.41,1648.91227,16.95088152,2.446617656,2.112093526,0
2017,MDG,Madagascar,3.39,5.19,1669.727643,18.13996179,2.680964466,2.223548728,0
2018,MDG,Madagascar,3.42,5.45,1678.786233,17.82504102,2.820089034,2.284395265,0
2019,MDG,Madagascar,3.37,5.53,1707.831538,18.49352202,2.937661568,2.358488454,0
2020,MDG,Madagascar,3.35,5.11,1545.727144,21.69931645,3.012840145,2.41606604,0
2021,MDG,Madagascar,3.14,5.36,1577.432461,21.81156161,3.038043734,2.846759499,0
2022,MDG,Madagascar,3.15,5.5,1602.713684,21.70501245,3.070518109,2.841048784,0
2023,MDG,Madagascar,3.2,5.75,1629.460972,22.89230168,2.986573258,2.742554839,0
2013,MEX,Mexico,5.35,6.4,20805.34804,20.20170484,49.1331392,14.96103378,1
2014,MEX,Mexico,5.26,6.29,21069.76616,21.04366185,50.93090723,14.86625589,1
2015,MEX,Mexico,5.08,6.35,21408.92832,22.3149357,53.49603124,14.08043799,1
2016,MEX,Mexico,5.03,6.27,21578.26336,23.24693814,55.28377582,14.19678779,1
2017,MEX,Mexico,5.06,6.47,21777.52251,23.40068094,56.41574971,14.232724,1
2018,MEX,Mexico,5.05,6.41,21997.77301,23.66817109,59.73988766,14.07307549,0
2019,MEX,Mexico,4.85,6.42,21704.18595,23.99060833,62.56174126,13.96222605,1
2020,MEX,Mexico,4.82,6.34,19728.48178,27.69877879,63.3076507,13.03232981,1
2021,MEX,Mexico,4.81,6.18,20782.58774,26.0837591,63.68817142,12.25181899,1
2022,MEX,Mexico,4.68,6.17,21392.11146,25.80196871,66.46093294,12.38191686,1
2023,MEX,Mexico,4.63,6.09,21905.17733,25.76945445,68.81649387,12.20290389,0
2013,MKD,North Macedonia,5.2,7.55,17758.27067,51.66440522,59.4085211,27.21293547,1
2014,MKD,North Macedonia,5.13,7.57,18452.25103,54.39009459,61.23956804,27.39496839,1
2015,MKD,North Macedonia,5.07,7.54,19215.12069,54.77906482,66.92957847,27.24397522,1
2016,MKD,North Macedonia,5.04,7.56,19825.8206,54.27035242,66.2923076,27.62711183,1
2017,MKD,North Macedonia,4.9,7.44,20121.09987,54.89044598,65.85662801,28.42502373,1
2018,MKD,North Macedonia,4.91,7.45,20805.97263,56.18798551,66.6129493,26.90138337,1
2019,MKD,North Macedonia,4.94,7.39,21766.93705,58.55299105,67.04208517,27.0486799,0
2020,MKD,North Macedonia,4.91,7.15,20971.49302,64.37824375,64.49081217,26.22582977,1
2021,MKD,North Macedonia,4.81,7.26,22144.24619,64.27419308,64.50866231,25.51412944,0
2022,MKD,North Macedonia,4.83,7.2,22822.28881,60.52743909,66.79062162,25.18659177,0
2023,MKD,North Macedonia,4.76,7.29,23344.94439,60.10988768,67.48702211,24.80461419,0
2013,MLI,Mali,3.79,5.55,2508.921422,26.03486553,3.768903993,4.757829239,0
2014,MLI,Mali,3.85,5.56,2615.67031,28.35813401,3.774526022,5.299263935,0
2015,MLI,Mali,3.55,5.59,2686.559744,30.69792057,4.074424219,5.687648021,0
2016,MLI,Mali,3.49,5.66,2759.109582,30.42047061,4.376237451,5.708135806,0
2017,MLI,Mali,3.51,5.71,2816.193289,30.77013199,4.445650183,4.833070678,0
2018,MLI,Mali,3.5,5.56,2862.406324,30.6051904,4.917111088,4.711060718,0
2019,MLI,Mali,3.44,5.72,2916.170694,30.9140948,4.980140558,4.654167721,0
2020,MLI,Mali,3.41,5.58,2796.410384,36.34338042,4.650759844,4.379756921,0
2021,MLI,Mali,3.47,5.55,2796.227938,41.77924529,4.494604493,4.283788147,0
2022,MLI,Mali,3.46,5.49,2808.522474,38.41968994,4.32193482,3.988226105,0
2023,MLI,Mali,3.38,5.5,2854.827174,35.01960567,4.227584549,3.866118212,0
2013,MLT,Malta,7.25,7.35,40884.37483,129.6159618,58.90610807,37.98618184,1
2014,MLT,Malta,7.24,7.34,43124.08799,131.3963234,55.47924914,37.16571059,1
2015,MLT,Malta,7.26,7.33,46130.27338,129.2875731,55.37970531,37.26975428,1
2016,MLT,Malta,7.25,7.34,46924.88723,128.3745846,55.10432659,34.34409192,1
2017,MLT,Malta,7.23,7.47,51581.94727,116.8582528,54.78483257,32.12383364,1
2018,MLT,Malta,7.11,7.45,53371.01656,111.8316202,52.26100777,29.4867154,1
2019,MLT,Malta,7.14,7.45,53345.2812,110.6878075,48.43815641,27.31820196,1
2020,MLT,Malta,7.2,7.17,50395.85693,123.8610974,45.43816492,23.5024991,1
2021,MLT,Malta,7.2,7.48,56805.27661,117.0590422,44.70451649,22.90828457,1
2022,MLT,Malta,7.19,7.3,57784.82267,110.6767761,42.52134203,22.1284535,1
2023,MLT,Malta,7.18,7.31,59296.7079,100.9415214,42.07886245,21.66436483,1
2013,MNE,Montenegro,5.24,7.06,20155.23914,45.42330637,71.33005861,42.28430067,1
2014,MNE,Montenegro,5.27,7.3,20476.69448,48.40520762,70.75006898,41.77998502,1
2015,MNE,Montenegro,5.21,6.88,21140.1921,51.20535896,75.92207956,42.87827291,1
2016,MNE,Montenegro,5.22,6.75,21739.24446,52.29406153,77.74904728,44.17559505,1
2017,MNE,Montenegro,5.28,6.78,22741.69406,54.70478345,80.74853104,43.5101308,1
2018,MNE,Montenegro,5.36,6.86,23879.09714,52.04579328,86.7010731,43.44839329,1
2019,MNE,Montenegro,5.38,6.97,24836.80271,47.76906052,80.77086304,40.67878816,1
2020,MNE,Montenegro,5.72,6.89,21040.53173,54.20595558,81.39960357,37.96039205,1
2021,MNE,Montenegro,5.66,6.94,23843.43294,53.32387779,76.93802367,33.56225012,1
2022,MNE,Montenegro,5.68,6.66,25430.48742,58.54156756,81.23444891,45.23952361,1
2023,MNE,Montenegro,5.67,6.88,27044.88371,52.52911024,82.87200595,35.34824899,1
2013,MNG,Mongolia,5.81,6.99,13210.09457,26.58364753,49.75333051,70.14641075,1
2014,MNG,Mongolia,5.85,6.86,13943.42771,26.14173247,58.36347672,70.56804426,0
2015,MNG,Mongolia,5.98,6.64,13974.59673,27.67302046,72.43414353,69.48051826,1
2016,MNG,Mongolia,5.96,6.16,13898.1457,33.61422114,87.99460436,69.208197,0
2017,MNG,Mongolia,5.97,6.93,14401.53751,48.59054016,93.34712168,69.44731702,1
2018,MNG,Mongolia,5.94,7.08,15230.24088,54.11494563,107.463715,68.90803102,1
2019,MNG,Mongolia,5.87,7.06,15790.69611,50.06274178,56.91555657,63.87742767,1
2020,MNG,Mongolia,5.85,6.35,14801.34208,59.99046264,48.45734435,62.67269075,0
2021,MNG,Mongolia,5.79,6.58,14792.25091,59.05932428,46.21576993,61.37137037,0
2022,MNG,Mongolia,5.85,6.49,15310.43495,51.62009945,41.04890808,60.44516803,0
2023,MNG,Mongolia,5.77,6.57,16222.86389,49.7956735,30.66115079,59.57389103,0
2013,MOZ,Mozambique,4.4,5.91,1385.832549,35.17367842,7.945339601,3.965299356,0
2014,MOZ,Mozambique,4.69,5.94,1449.929266,39.78674616,9.433666733,4.219759949,0
2015,MOZ,Mozambique,4.67,5.93,1512.599746,44.21479673,10.93126923,4.383605427,0
2016,MOZ,Mozambique,4.57,5.83,1537.908533,41.31112958,11.28132753,4.47084792,0
2017,MOZ,Mozambique,4.63,5.8,1532.007358,39.26089797,11.36233409,4.375638114,0
2018,MOZ,Mozambique,4.6,6.06,1538.835121,39.73712728,11.14043554,4.365334876,0
2019,MOZ,Mozambique,4.66,6.14,1528.889884,41.64590006,10.73342043,4.660322716,0
2020,MOZ,Mozambique,4.65,5.9,1466.124765,50.33583051,10.13378012,4.148331043,0
2021,MOZ,Mozambique,4.63,5.99,1457.235409,48.66808473,9.400417592,3.904877192,0
2022,MOZ,Mozambique,4.58,5.77,1476.665603,48.3689844,8.750468676,3.738280324,0
2023,MOZ,Mozambique,4.52,5.32,1511.636535,45.28264033,7.927115741,3.600299002,0
2013,MRT,Mauritania,2.91,5.54,5769.728714,161.8667051,7.051397976,7.339210138,0
2014,MRT,Mauritania,2.91,5.64,5837.852037,198.8696229,8.619071069,7.640690029,0
2015,MRT,Mauritania,2.89,5.54,5969.542399,201.8883172,10.2673166,8.051023588,0
2016,MRT,Mauritania,3.4,5.84,5866.281453,194.2288485,10.97210671,9.392123344,0
2017,MRT,Mauritania,3.48,5.86,6050.621808,215.6964971,11.15127557,9.406228626,0
2018,MRT,Mauritania,3.49,5.9,6153.637909,216.513725,11.38534953,11.88036473,0
2019,MRT,Mauritania,3.51,5.97,6162.210451,220.2672402,11.30804513,12.34694681,0
2020,MRT,Mauritania,3.42,5.97,5963.235503,232.939696,11.95567347,12.14913097,0
2021,MRT,Mauritania,3.46,5.94,5836.565808,276.1224657,11.83610146,12.24811765,0
2022,MRT,Mauritania,3.44,5.93,6053.261787,279.3037857,11.44125405,11.36884105,0
2023,MRT,Mauritania,3.45,6.08,6258.710913,284.8607208,10.73059257,12.16366845,0
2013,MUS,Mauritius,6.74,7.4,20811.49499,147.4567514,44.53624409,22.07018318,1
2014,MUS,Mauritius,6.68,7.48,21568.86485,155.944574,44.72078504,22.3112488,1
