DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),JAM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Jamaica,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,41.16949393
IMF.STA:FAS(4.0.0),JAM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Jamaica,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.095168103
IMF.STA:FAS(4.0.0),BHS.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Bahamas, The",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,24.14898063
IMF.STA:FAS(4.0.0),BRB.FA26N.PHTADLT_NUM.A,OBS_VALUE,Barbados,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.91566929
IMF.STA:FAS(4.0.0),BRB.FA18N.PHTADLT_NUM.A,OBS_VALUE,Barbados,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,30.13656168
IMF.STA:FAS(4.0.0),BRB.OUTD_COMBANK.POGDP.A,OBS_VALUE,Barbados,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,93.66425344
IMF.STA:FAS(4.0.0),MOZ.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Mozambique, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,8.750468676
IMF.STA:FAS(4.0.0),UKR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Ukraine,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,80.87887211
IMF.STA:FAS(4.0.0),ALB.FA18N.PHTADLT_NUM.A,OBS_VALUE,Albania,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,37.18519794
IMF.STA:FAS(4.0.0),GUY.FA18N.PHTADLT_NUM.A,OBS_VALUE,Guyana,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,21.20503197
IMF.STA:FAS(4.0.0),MDG.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Madagascar, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,3.070518109
IMF.STA:FAS(4.0.0),MRT.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Mauritania, Islamic Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,11.44125405
IMF.STA:FAS(4.0.0),NAM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Namibia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.467906634
IMF.STA:FAS(4.0.0),LBY.FA26N.PHTADLT_NUM.A,OBS_VALUE,Libya,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,11.61826337
IMF.STA:FAS(4.0.0),NAM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Namibia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,68.46274841
IMF.STA:FAS(4.0.0),FJI.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Fiji, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.22985583
IMF.STA:FAS(4.0.0),NER.FA18N.PHTADLT_NUM.A,OBS_VALUE,Niger,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,2.025101964
IMF.STA:FAS(4.0.0),SYC.FA26N.PHTADLT_NUM.A,OBS_VALUE,Seychelles,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,31.40374751
IMF.STA:FAS(4.0.0),SEN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Senegal,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.205386001
IMF.STA:FAS(4.0.0),NGA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Nigeria,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.5087404
IMF.STA:FAS(4.0.0),LSO.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Lesotho, Kingdom of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,14.06176902
IMF.STA:FAS(4.0.0),RWA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Rwanda,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,4.110284014
IMF.STA:FAS(4.0.0),MRT.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Mauritania, Islamic Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,11.36884105
IMF.STA:FAS(4.0.0),BFA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Burkina Faso,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,4.393453038
IMF.STA:FAS(4.0.0),MNE.FA26N.PHTADLT_NUM.A,OBS_VALUE,Montenegro,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,45.23952361
IMF.STA:FAS(4.0.0),TZA.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Tanzania, United Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.357880703
IMF.STA:FAS(4.0.0),MUS.FA26N.PHTADLT_NUM.A,OBS_VALUE,Mauritius,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.43108268
IMF.STA:FAS(4.0.0),SEN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Senegal,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,6.797731271
IMF.STA:FAS(4.0.0),CHL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Chile,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,46.8755004
IMF.STA:FAS(4.0.0),MAR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Morocco,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,29.54945705
IMF.STA:FAS(4.0.0),ZMB.FA18N.PHTADLT_NUM.A,OBS_VALUE,Zambia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,7.991179531
IMF.STA:FAS(4.0.0),ARG.FA18N.PHTADLT_NUM.A,OBS_VALUE,Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,75.31658395
IMF.STA:FAS(4.0.0),CRI.FA18N.PHTADLT_NUM.A,OBS_VALUE,Costa Rica,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,64.5381277
IMF.STA:FAS(4.0.0),EST.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Estonia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,6.814876965
IMF.STA:FAS(4.0.0),MKD.FA18N.PHTADLT_NUM.A,OBS_VALUE,"North Macedonia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,66.79062162
IMF.STA:FAS(4.0.0),MUS.FA18N.PHTADLT_NUM.A,OBS_VALUE,Mauritius,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,41.79391477
IMF.STA:FAS(4.0.0),AZE.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Azerbaijan, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,6.539220829
IMF.STA:FAS(4.0.0),ROU.FA26N.PHTADLT_NUM.A,OBS_VALUE,Romania,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,21.51557
IMF.STA:FAS(4.0.0),COL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Colombia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.77595201
IMF.STA:FAS(4.0.0),GUY.FA26N.PHTADLT_NUM.A,OBS_VALUE,Guyana,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.93033716
IMF.STA:FAS(4.0.0),ALB.FA26N.PHTADLT_NUM.A,OBS_VALUE,Albania,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,17.44007529
IMF.STA:FAS(4.0.0),LTU.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Lithuania, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,47.14184874
IMF.STA:FAS(4.0.0),RWA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Rwanda,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.150822904
IMF.STA:FAS(4.0.0),COL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Colombia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,39.16899046
IMF.STA:FAS(4.0.0),GEO.FA18N.PHTADLT_NUM.A,OBS_VALUE,Georgia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,99.19481972
IMF.STA:FAS(4.0.0),LTU.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Lithuania, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.51753768
IMF.STA:FAS(4.0.0),UKR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Ukraine,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,15.43845793
IMF.STA:FAS(4.0.0),ZMB.FA26N.PHTADLT_NUM.A,OBS_VALUE,Zambia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.66372651
IMF.STA:FAS(4.0.0),BRA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Brazil,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,113.4541655
IMF.STA:FAS(4.0.0),GIN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Guinea,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.703211488
IMF.STA:FAS(4.0.0),BFA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Burkina Faso,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.913389072
IMF.STA:FAS(4.0.0),GUY.OUTD_COMBANK.POGDP.A,OBS_VALUE,Guyana,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,17.68437222
IMF.STA:FAS(4.0.0),GIN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Guinea,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,2.654504975
IMF.STA:FAS(4.0.0),AZE.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Azerbaijan, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,39.18423731
IMF.STA:FAS(4.0.0),MAR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Morocco,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,21.61427395
IMF.STA:FAS(4.0.0),MKD.FA26N.PHTADLT_NUM.A,OBS_VALUE,"North Macedonia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,25.18659177
IMF.STA:FAS(4.0.0),NZL.FA26N.PHTADLT_NUM.A,OBS_VALUE,New Zealand,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,16.90982547
IMF.STA:FAS(4.0.0),UGA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Uganda,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,3.631902265
IMF.STA:FAS(4.0.0),GEO.FA26N.PHTADLT_NUM.A,OBS_VALUE,Georgia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,31.31028769
IMF.STA:FAS(4.0.0),UGA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Uganda,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.315005624
IMF.STA:FAS(4.0.0),MOZ.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Mozambique, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.738280324
IMF.STA:FAS(4.0.0),ROU.FA18N.PHTADLT_NUM.A,OBS_VALUE,Romania,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,63.38404411
IMF.STA:FAS(4.0.0),ARM.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Armenia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,69.63820494
IMF.STA:FAS(4.0.0),SRB.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Serbia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,24.3176303
IMF.STA:FAS(4.0.0),FJI.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Fiji, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,48.74225427
IMF.STA:FAS(4.0.0),EST.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Estonia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,59.20977519
IMF.STA:FAS(4.0.0),BIH.FA26N.PHTADLT_NUM.A,OBS_VALUE,Bosnia and Herzegovina,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,29.21351876
IMF.STA:FAS(4.0.0),MDA.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Moldova, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,57.74455512
IMF.STA:FAS(4.0.0),AUS.FA26N.PHTADLT_NUM.A,OBS_VALUE,Australia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,19.3178055
IMF.STA:FAS(4.0.0),BIH.FA18N.PHTADLT_NUM.A,OBS_VALUE,Bosnia and Herzegovina,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,59.54370717
IMF.STA:FAS(4.0.0),ARG.FA26N.PHTADLT_NUM.A,OBS_VALUE,Argentina,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.99702132
IMF.STA:FAS(4.0.0),BOL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Bolivia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,74.65033715
IMF.STA:FAS(4.0.0),MDA.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Moldova, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,29.21894299
IMF.STA:FAS(4.0.0),SYC.FA18N.PHTADLT_NUM.A,OBS_VALUE,Seychelles,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,75.36899403
IMF.STA:FAS(4.0.0),NZL.FA18N.PHTADLT_NUM.A,OBS_VALUE,New Zealand,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,50.87359425
IMF.STA:FAS(4.0.0),ARM.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Armenia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,24.16533967
IMF.STA:FAS(4.0.0),MNE.FA18N.PHTADLT_NUM.A,OBS_VALUE,Montenegro,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,81.23444891
IMF.STA:FAS(4.0.0),NGA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Nigeria,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,14.00099359
IMF.STA:FAS(4.0.0),MNG.FA26N.PHTADLT_NUM.A,OBS_VALUE,Mongolia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,60.44516803
IMF.STA:FAS(4.0.0),BOL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Bolivia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,44.94984393
IMF.STA:FAS(4.0.0),BRA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Brazil,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,16.91283301
IMF.STA:FAS(4.0.0),CHL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Chile,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.968350642
IMF.STA:FAS(4.0.0),LVA.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Latvia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.189633644
IMF.STA:FAS(4.0.0),MNG.FA18N.PHTADLT_NUM.A,OBS_VALUE,Mongolia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,41.04890808
IMF.STA:FAS(4.0.0),LVA.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Latvia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,56.83281722
IMF.STA:FAS(4.0.0),SVK.FA18N.PHTADLT_NUM.A,OBS_VALUE,Slovak Republic,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,60.75290219
IMF.STA:FAS(4.0.0),AUS.FA18N.PHTADLT_NUM.A,OBS_VALUE,Australia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,117.6510301
IMF.STA:FAS(4.0.0),TUN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Tunisia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,22.50804035
IMF.STA:FAS(4.0.0),TUN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Tunisia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,33.31803927
IMF.STA:FAS(4.0.0),SRB.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Serbia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,53.80363303
IMF.STA:FAS(4.0.0),SVK.FA26N.PHTADLT_NUM.A,OBS_VALUE,Slovak Republic,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,20.70374777
IMF.STA:FAS(4.0.0),MDG.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Madagascar, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.841048784
IMF.STA:FAS(4.0.0),TGO.FA26N.PHTADLT_NUM.A,OBS_VALUE,Togo,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,4.821386049
IMF.STA:FAS(4.0.0),LBY.FA18N.PHTADLT_NUM.A,OBS_VALUE,Libya,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,16.11065854
IMF.STA:FAS(4.0.0),CRI.FA26N.PHTADLT_NUM.A,OBS_VALUE,Costa Rica,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,16.0792977
IMF.STA:FAS(4.0.0),MLI.FA18N.PHTADLT_NUM.A,OBS_VALUE,Mali,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,4.32193482
IMF.STA:FAS(4.0.0),KEN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Kenya,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,6.848648033
IMF.STA:FAS(4.0.0),MLI.FA26N.PHTADLT_NUM.A,OBS_VALUE,Mali,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.988226105
IMF.STA:FAS(4.0.0),LSO.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Lesotho, Kingdom of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.650651574
IMF.STA:FAS(4.0.0),NER.FA26N.PHTADLT_NUM.A,OBS_VALUE,Niger,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,1.597580438
IMF.STA:FAS(4.0.0),KEN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Kenya,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,4.506237776
IMF.STA:FAS(4.0.0),TGO.FA18N.PHTADLT_NUM.A,OBS_VALUE,Togo,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,6.919241048
IMF.STA:FAS(4.0.0),TZA.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Tanzania, United Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,5.638881177
IMF.STA:FAS(4.0.0),PRT.FA26N.PHTADLT_NUM.A,OBS_VALUE,Portugal,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,29.73240723
IMF.STA:FAS(4.0.0),BLZ.FA26N.PHTADLT_NUM.A,OBS_VALUE,Belize,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.7495155
IMF.STA:FAS(4.0.0),IRL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Ireland,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,33.20124288
IMF.STA:FAS(4.0.0),TUR.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Türkiye, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,78.72139266
IMF.STA:FAS(4.0.0),BEL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Belgium,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,21.14978303
IMF.STA:FAS(4.0.0),IRL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Ireland,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,13.14712057
IMF.STA:FAS(4.0.0),LUX.FA18N.PHTADLT_NUM.A,OBS_VALUE,Luxembourg,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,88.82449517
IMF.STA:FAS(4.0.0),BTN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Bhutan,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.97615508
IMF.STA:FAS(4.0.0),JPN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Japan,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,33.75481256
IMF.STA:FAS(4.0.0),FIN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Finland,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.965505367
IMF.STA:FAS(4.0.0),DNK.FA18N.PHTADLT_NUM.A,OBS_VALUE,Denmark,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,39.12106527
IMF.STA:FAS(4.0.0),ESP.FA18N.PHTADLT_NUM.A,OBS_VALUE,Spain,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,89.81295422
IMF.STA:FAS(4.0.0),SWE.FA26N.PHTADLT_NUM.A,OBS_VALUE,Sweden,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.58604385
IMF.STA:FAS(4.0.0),CHE.FA18N.PHTADLT_NUM.A,OBS_VALUE,Switzerland,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,89.49144284
IMF.STA:FAS(4.0.0),KAZ.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Kazakhstan, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,26.78190073
IMF.STA:FAS(4.0.0),KAZ.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Kazakhstan, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,87.88535398
IMF.STA:FAS(4.0.0),DNK.FA26N.PHTADLT_NUM.A,OBS_VALUE,Denmark,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,17.53285494
IMF.STA:FAS(4.0.0),AGO.FA18N.PHTADLT_NUM.A,OBS_VALUE,Angola,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,16.22510077
IMF.STA:FAS(4.0.0),ISL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Iceland,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,25.33699811
IMF.STA:FAS(4.0.0),GRC.FA26N.PHTADLT_NUM.A,OBS_VALUE,Greece,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,16.33754866
IMF.STA:FAS(4.0.0),CHE.FA26N.PHTADLT_NUM.A,OBS_VALUE,Switzerland,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,35.05338632
IMF.STA:FAS(4.0.0),OMN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Oman,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,15.96025124
IMF.STA:FAS(4.0.0),KAZ.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Kazakhstan, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.18521815
IMF.STA:FAS(4.0.0),CAN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Canada,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,205.9685036
IMF.STA:FAS(4.0.0),BGD.FA26N.PHTADLT_NUM.A,OBS_VALUE,Bangladesh,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.282841483
IMF.STA:FAS(4.0.0),AUT.FA18N.PHTADLT_NUM.A,OBS_VALUE,Austria,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,176.3271959
IMF.STA:FAS(4.0.0),MLT.FA18N.PHTADLT_NUM.A,OBS_VALUE,Malta,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,42.52134203
IMF.STA:FAS(4.0.0),KGZ.FA18N.PHTADLT_NUM.A,OBS_VALUE,Kyrgyz Republic,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,43.62199797
IMF.STA:FAS(4.0.0),MLT.FA26N.PHTADLT_NUM.A,OBS_VALUE,Malta,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,22.1284535
IMF.STA:FAS(4.0.0),NLD.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Netherlands, The",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.17895941
IMF.STA:FAS(4.0.0),BTN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Bhutan,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,44.18462933
IMF.STA:FAS(4.0.0),FIN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Finland,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,36.00532777
IMF.STA:FAS(4.0.0),BGD.FA18N.PHTADLT_NUM.A,OBS_VALUE,Bangladesh,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,13.19738258
IMF.STA:FAS(4.0.0),KGZ.FA26N.PHTADLT_NUM.A,OBS_VALUE,Kyrgyz Republic,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.288143708
IMF.STA:FAS(4.0.0),AUT.FA26N.PHTADLT_NUM.A,OBS_VALUE,Austria,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,11.45300401
IMF.STA:FAS(4.0.0),BLZ.FA18N.PHTADLT_NUM.A,OBS_VALUE,Belize,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,45.27758245
IMF.STA:FAS(4.0.0),NLD.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Netherlands, The",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,34.15043209
IMF.STA:FAS(4.0.0),TUR.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Türkiye, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.44276603
IMF.STA:FAS(4.0.0),ISL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Iceland,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,68.31367845
IMF.STA:FAS(4.0.0),CHN.FA26N.PHTADLT_NUM.A,OBS_VALUE,"China, People's Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.784714039
IMF.STA:FAS(4.0.0),CAN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Canada,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,19.76144427
IMF.STA:FAS(4.0.0),PRT.FA18N.PHTADLT_NUM.A,OBS_VALUE,Portugal,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,159.3366203
IMF.STA:FAS(4.0.0),AGO.FA26N.PHTADLT_NUM.A,OBS_VALUE,Angola,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.538525217
IMF.STA:FAS(4.0.0),FRA.FA18N.PHTADLT_NUM.A,OBS_VALUE,France,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,84.28869373
IMF.STA:FAS(4.0.0),OMN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Oman,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,51.89230699
IMF.STA:FAS(4.0.0),GRC.FA18N.PHTADLT_NUM.A,OBS_VALUE,Greece,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,66.47347061
IMF.STA:FAS(4.0.0),JPN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Japan,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,113.0691467
IMF.STA:FAS(4.0.0),FRA.FA26N.PHTADLT_NUM.A,OBS_VALUE,France,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,32.03855747
